Sykehus;Kommune;Coordinates
Akershus universitetssykehus;Lørenskog;59.932869, 10.994434
Oslo universitetssykehus;Oslo;59.9386, 10.7337
Haukeland universitetssykehus;Bergen;60.3886, 5.3318
Stavanger universitetssjukehus;Stavanger;58.9379, 5.6829
St. Olavs hospital;Trondheim;63.4205, 10.3951
Sykehuset Østfold;Sarpsborg;59.285042, 11.114161
Sykehuset i Vestfold;Tønsberg;59.272671, 10.417712
Sykehuset Telemark;Skien;59.193050, 9.594172
Bærum sykehus;Bærum;59.898075, 10.510568
Drammen sykehus;Drammen;59.749104, 10.198145
Sørlandet sykehus;Kristiansand;58.164042, 7.980859
Universitetssykehuset Nord-Norge;Tromsø;69.6489, 18.9553
Haugesund sjukehus;Haugesund;59.408890, 5.279371
Førde sentralsjukehus;Sunnfjord;61.457161, 5.888371
Sykehuset Innlandet;Gjøvik;60.883148, 10.948953
Ålesund sjukehus;Ålesund;62.463595, 6.312675
Sørlandet sykehus;Arendal;58.466810, 8.754344
Sykehuset Levanger;Levanger;63.742027, 11.288057
Nordlandssykehuset;Bodø;67.283455, 14.397217
Kristiansund sykehus;Kristiansund;63.108429, 7.724147
Molde sjukehus;Molde;62.737011, 7.138965
Nordlandssykehuset Vesterålen;Hadsel;68.558861, 14.911555
Stord sjukehus;Stord;59.792599, 5.511895
Volda sjukehus;Volda;62.149651, 6.091902
Sykehuset Namsos;Namsos;64.470726, 11.505197
Finnmarkssykehuset;Hammerfest;70.673050, 23.671703
Flekkefjord sykehus;Flekkefjord;58.298397, 6.666295
Universitetssykehuset Nord-Norge;Harstad;68.796272, 16.525349
Helgelandssykehuset;Rana;66.326180, 14.186617
Universitetssykehuset Nord-Norge;Narvik;68.441895, 17.412834
Finnmarkssykehuset;Sør-Varanger;69.706841, 30.034405
Nordlandssykehuset Lofoten;Vestvågøy;68.119644, 13.536824
